folio,section,eva_token,failure_reason
f1r,Botanical,fachys,not_full_token_parse
f1r,Botanical,ykal,not_full_token_parse
f1r,Botanical,ataiin,not_full_token_parse
f1r,Botanical,res,not_full_token_parse
f1r,Botanical,y,not_full_token_parse
f1r,Botanical,kor,not_full_token_parse
f1r,Botanical,ckhar,not_full_token_parse
f1r,Botanical,kair,not_full_token_parse
f1r,Botanical,chtaiin,not_full_token_parse
f1r,Botanical,shar,not_full_token_parse
f1r,Botanical,ase,not_full_token_parse
f1r,Botanical,dan,not_full_token_parse
f1r,Botanical,syaiir,not_full_token_parse
f1r,Botanical,sheky,not_full_token_parse
f1r,Botanical,ykaiin,not_full_token_parse
f1r,Botanical,shod,not_full_token_parse
f1r,Botanical,cthoary,not_full_token_parse
f1r,Botanical,cthes,not_full_token_parse
f1r,Botanical,daraiin,not_full_token_parse
f1r,Botanical,soiin,not_full_token_parse
f1r,Botanical,roloty,not_full_token_parse
f1r,Botanical,cthiar,not_full_token_parse
f1r,Botanical,okaiin,not_full_token_parse
f1r,Botanical,okan,not_full_token_parse
f1r,Botanical,sair,not_full_token_parse
